branch_name	branch_name_ru
Psychomotorik	психомоторика
Lüftungsanlage-Hersteller	производитель вентиляционного оборудования
Tränkmann	Трэнкман
Schlüsseldienst	служба вскрытия замков
Apotheke	аптека
Betonfertigteil	бетонные сборные конструкции
Zwick	Цвик
Joblinge	Йоблинге
Osteopathen	остеопаты
Christbaumschmuck	ёлочные украшения
Strandperle	Страндперле
Unter	Унтер
Ingenieurbüro Mess- und Regeltechnik	инженерное бюро по измерительной и регулирующей технике
Einzigartig	Уникальный
Tent	Тент
Keramikscheune	керамическая мастерская
Coffeeshop	кофешоп
Pfankuchen	Пфанкухен
Sportcenter	спортивный центр
Wäscherei	прачечная
Software	программное обеспечение
Münzenhandel	торговля монетами
Bettengeschäft	магазин кроватей
Urheberrecht	авторское право
Handelsverband	торговая ассоциация
Suite	люкс
Brewing	пивоварение
Knackpunkt	Кнакпункт
Anhängercenter	центр прицепов
Grenzdörfer	Гренцдёрфер
Zeitlos	вневременной
Tiroler	тиролец
Fugen	швы
Universitätskrankenhaus	университетская клиника
Fertighaus	сборный дом
Terrazzo	терраццо
Baggen	Багген
Handelsvermittler und -vertreter	торговые посредники и представители
Hochzeitsplanerin	свадебный организатор
Kardiolog	кардиолог
Getränkeservice	доставка напитков
Edelstahlwerk	завод нержавеющей стали
Familienhotel	семейный отель
Crossmedia	кроссмедиа
Hulb	Хульб
Akupressur	акупрессура
Weinkeller	винный погреб
Korrespondenz- und Nachrichtenbüro	корреспондентское и новостное бюро
Sicherheit	безопасность
Gifts	подарки
Labora	Лабора
Scheideweg	Шайдевег
Causaconcilio	Каузаконсилио
Dachsanierung	ремонт крыши
Tierarzt Rind	ветеринар по крупному рогатому скоту
Chinamassage	китайский массаж
